Cores,Solver,Degree,Refinement,SetupSystemCPU,SetupSystemWall,NumberOfElements,DoFs,DoFsPerCell,QPointsPerCell,RhsCpu,RhsWall,SolvingLinearSystemCPU,SolvingLinearSystemWall,Iterations,TimePerIter(s),Throughput(MDoFs/s)
2,MatrixFree,1,10,2.65099,2.87168,1048576,1050625,4,4,0.146402,0.147285,3.74433,3.84301,14,0.274501,3.8274 MDoFs/s
3,MatrixFree,1,10,1.84184,1.99799,1048576,1050625,4,4,0.101124,0.105323,2.49466,2.57248,14,0.183748,5.71774 MDoFs/s
4,MatrixFree,1,10,1.40507,1.52581,1048576,1050625,4,4,0.071871,0.0731734,1.8372,1.90825,14,0.136303,7.70798 MDoFs/s
5,MatrixFree,1,10,1.23761,1.33163,1048576,1050625,4,4,0.061376,0.0626279,1.53907,1.58053,14,0.112895,9.30619 MDoFs/s
6,MatrixFree,1,10,1.00136,1.06928,1048576,1050625,4,4,0.05149,0.0515012,1.27367,1.31113,14,0.0936522,11.2184 MDoFs/s
7,MatrixFree,1,10,0.865348,0.920884,1048576,1050625,4,4,0.044232,0.0450014,1.13121,1.1507,14,0.0821926,12.7825 MDoFs/s
8,MatrixFree,1,10,0.77082,0.825051,1048576,1050625,4,4,0.038026,0.0380457,0.983298,1.00791,14,0.0719933,14.5934 MDoFs/s
9,MatrixFree,1,10,0.767393,0.817391,1048576,1050625,4,4,0.03136,0.0324653,0.906581,0.926984,14,0.0662131,15.8673 MDoFs/s
10,MatrixFree,1,10,0.628433,0.664983,1048576,1050625,4,4,0.028066,0.0306173,0.819018,0.827817,14,0.0591298,17.7681 MDoFs/s
11,MatrixFree,1,10,0.641839,0.679941,1048576,1050625,4,4,0.02829,0.0286313,0.736452,0.746171,14,0.053298,19.7123 MDoFs/s
12,MatrixFree,1,10,0.517782,0.5628,1048576,1050625,4,4,0.025629,0.02676,0.669668,0.690474,14,0.0493196,21.3024 MDoFs/s
13,MatrixFree,1,10,0.582527,0.610994,1048576,1050625,4,4,0.022986,0.0229993,0.626374,0.634541,14,0.0453244,23.1801 MDoFs/s
14,MatrixFree,1,10,0.460799,0.493475,1048576,1050625,4,4,0.018992,0.0231153,0.583889,0.596877,14,0.0426341,24.6428 MDoFs/s
15,MatrixFree,1,10,0.519215,0.555658,1048576,1050625,4,4,0.019843,0.0198597,0.545235,0.557411,14,0.0398151,26.3876 MDoFs/s
16,MatrixFree,1,10,0.443427,0.481143,1048576,1050625,4,4,0.021135,0.0215256,0.509094,0.518177,14,0.0370127,28.3855 MDoFs/s
17,MatrixFree,1,10,0.452103,0.478432,1048576,1050625,4,4,0.018037,0.0181065,0.490246,0.497172,14,0.0355123,29.5848 MDoFs/s
18,MatrixFree,1,10,0.441329,0.468993,1048576,1050625,4,4,0.017614,0.0176273,0.464696,0.473966,14,0.0338547,31.0334 MDoFs/s
19,MatrixFree,1,10,0.425722,0.45439,1048576,1050625,4,4,0.017611,0.0176234,0.443087,0.451781,14,0.0322701,32.5573 MDoFs/s
20,MatrixFree,1,10,0.39396,0.418657,1048576,1050625,4,4,0.01598,0.0166084,0.425295,0.429271,14,0.0306622,34.2645 MDoFs/s
21,MatrixFree,1,10,0.397513,0.426903,1048576,1050625,4,4,0.014704,0.0152573,0.402288,0.415406,14,0.0296719,35.4081 MDoFs/s
22,MatrixFree,1,10,0.392186,0.421599,1048576,1050625,4,4,0.016937,0.0169558,0.388049,0.396516,14,0.0283226,37.095 MDoFs/s
23,MatrixFree,1,10,0.378912,0.401422,1048576,1050625,4,4,0.013703,0.0137163,0.381236,0.384195,14,0.0274425,38.2846 MDoFs/s
24,MatrixFree,1,10,0.361984,0.390243,1048576,1050625,4,4,0.013894,0.0139061,0.367915,0.369508,14,0.0263934,39.8063 MDoFs/s
25,MatrixFree,1,10,0.330305,0.356372,1048576,1050625,4,4,0.014454,0.0144829,0.36659,0.371705,14,0.0265503,39.5711 MDoFs/s
26,MatrixFree,1,10,0.338919,0.364306,1048576,1050625,4,4,0.012083,0.0123695,0.358789,0.363561,14,0.0259687,40.4574 MDoFs/s
27,MatrixFree,1,10,0.351279,0.374571,1048576,1050625,4,4,0.012023,0.0122901,0.350654,0.35667,14,0.0254764,41.2391 MDoFs/s
28,MatrixFree,1,10,0.355768,0.375341,1048576,1050625,4,4,0.012002,0.0120157,0.339854,0.344338,14,0.0245956,42.716 MDoFs/s
29,MatrixFree,1,10,0.330506,0.354773,1048576,1050625,4,4,0.012077,0.0121052,0.335829,0.337721,14,0.0241229,43.5529 MDoFs/s
30,MatrixFree,1,10,0.333748,0.350761,1048576,1050625,4,4,0.012236,0.0122497,0.325698,0.32985,14,0.0235607,44.5923 MDoFs/s
31,MatrixFree,1,10,0.34697,0.362321,1048576,1050625,4,4,0.011592,0.0116061,0.321755,0.324132,14,0.0231523,45.3788 MDoFs/s
32,MatrixFree,1,10,0.308616,0.320216,1048576,1050625,4,4,0.011006,0.0110707,0.307734,0.312776,14,0.0223411,47.0265 MDoFs/s
33,MatrixFree,1,10,0.31125,0.32763,1048576,1050625,4,4,0.011001,0.0110144,0.310369,0.317855,14,0.0227039,46.275 MDoFs/s
34,MatrixFree,1,10,0.339565,0.356748,1048576,1050625,4,4,0.010985,0.0111004,0.304951,0.310656,14,0.0221897,47.3474 MDoFs/s
35,MatrixFree,1,10,0.341817,0.351628,1048576,1050625,4,4,0.01076,0.010777,0.306807,0.30703,14,0.0219307,47.9065 MDoFs/s
36,MatrixFree,1,10,0.302849,0.314252,1048576,1050625,4,4,0.010057,0.0105722,0.294267,0.297613,14,0.0212581,49.4223 MDoFs/s
37,MatrixFree,1,10,0.304162,0.324193,1048576,1050625,4,4,0.010133,0.0107471,0.289651,0.296562,14,0.021183,49.5975 MDoFs/s
38,MatrixFree,1,10,0.313841,0.324595,1048576,1050625,4,4,0.009944,0.0103662,0.290289,0.293052,14,0.0209323,50.1917 MDoFs/s
39,MatrixFree,1,10,0.304158,0.323817,1048576,1050625,4,4,0.008742,0.00999086,0.281578,0.288221,14,0.0205872,51.033 MDoFs/s
40,MatrixFree,1,10,0.294457,0.31674,1048576,1050625,4,4,0.009994,0.0102828,0.279891,0.283308,14,0.0202363,51.9178 MDoFs/s
41,MatrixFree,1,10,0.302265,0.319591,1048576,1050625,4,4,0.010046,0.0101562,0.27747,0.28362,14,0.0202586,51.8607 MDoFs/s
42,MatrixFree,1,10,0.300524,0.309391,1048576,1050625,4,4,0.009535,0.00955276,0.279752,0.27996,14,0.0199972,52.5387 MDoFs/s
43,MatrixFree,1,10,0.314578,0.325946,1048576,1050625,4,4,0.009156,0.00963428,0.273319,0.275492,14,0.019678,53.3908 MDoFs/s
44,MatrixFree,1,10,0.293288,0.31199,1048576,1050625,4,4,0.009712,0.00973974,0.280692,0.286133,14,0.0204381,51.4053 MDoFs/s
45,MatrixFree,1,10,0.304317,0.327189,1048576,1050625,4,4,0.009437,0.0094544,0.280088,0.283096,14,0.0202211,51.9568 MDoFs/s
46,MatrixFree,1,10,0.300135,0.317129,1048576,1050625,4,4,0.008844,0.00945219,0.265268,0.274707,14,0.0196219,53.5434 MDoFs/s
47,MatrixFree,1,10,0.323127,0.335594,1048576,1050625,4,4,0.009395,0.00940697,0.264638,0.266124,14,0.0190089,55.2703 MDoFs/s
48,MatrixFree,1,10,0.300748,0.320511,1048576,1050625,4,4,0.008031,0.00914993,0.269809,0.273689,14,0.0195492,53.7426 MDoFs/s
49,MatrixFree,1,10,0.30635,0.318999,1048576,1050625,4,4,0.007852,0.00965182,0.270088,0.275846,14,0.0197033,53.3223 MDoFs/s
50,MatrixFree,1,10,0.311163,0.323062,1048576,1050625,4,4,0.009185,0.0094564,0.257105,0.258928,14,0.0184949,56.8062 MDoFs/s
51,MatrixFree,1,10,0.30379,0.31614,1048576,1050625,4,4,0.008898,0.00891277,0.263416,0.266552,14,0.0190394,55.1815 MDoFs/s
52,MatrixFree,1,10,0.305334,0.316084,1048576,1050625,4,4,0.008917,0.00892863,0.259325,0.265179,14,0.0189413,55.4673 MDoFs/s
53,MatrixFree,1,10,0.324655,0.334269,1048576,1050625,4,4,0.010026,0.0100443,0.251416,0.253597,14,0.018114,58.0006 MDoFs/s
54,MatrixFree,1,10,0.329577,0.340585,1048576,1050625,4,4,0.009874,0.0101883,0.245534,0.24994,14,0.0178528,58.8492 MDoFs/s
55,MatrixFree,1,10,0.312934,0.334504,1048576,1050625,4,4,0.008781,0.00879547,0.253862,0.255861,14,0.0182758,57.4872 MDoFs/s
56,MatrixFree,1,10,0.306614,0.322523,1048576,1050625,4,4,0.011311,0.0113386,0.257245,0.258022,14,0.0184302,57.0058 MDoFs/s
16,MatrixFree,2,10,0.503443,0.547154,1048576,4198401,9,9,0.040016,0.0426045,1.37527,1.40692,18,0.0781624,53.7138 MDoFs/s
17,MatrixFree,2,10,0.485402,0.541889,1048576,4198401,9,9,0.036574,0.0373442,1.34454,1.38807,18,0.0771148,54.4435 MDoFs/s
18,MatrixFree,2,10,0.502968,0.546775,1048576,4198401,9,9,0.034914,0.036096,1.27206,1.3056,18,0.0725333,57.8824 MDoFs/s
19,MatrixFree,2,10,0.492387,0.533699,1048576,4198401,9,9,0.033597,0.0336119,1.28433,1.31995,18,0.0733303,57.2533 MDoFs/s
20,MatrixFree,2,10,0.473202,0.5106,1048576,4198401,9,9,0.029119,0.0332073,1.22573,1.26076,18,0.0700423,59.9409 MDoFs/s
21,MatrixFree,2,10,0.438472,0.473526,1048576,4198401,9,9,0.031175,0.0315301,1.12488,1.15495,18,0.0641641,65.4323 MDoFs/s
22,MatrixFree,2,10,0.46067,0.494829,1048576,4198401,9,9,0.029261,0.02972,1.079,1.09399,18,0.060777,69.0788 MDoFs/s
23,MatrixFree,2,10,0.414043,0.455258,1048576,4198401,9,9,0.033589,0.034297,1.06435,1.09919,18,0.0610661,68.7517 MDoFs/s
24,MatrixFree,2,10,0.411777,0.451573,1048576,4198401,9,9,0.027598,0.0276687,1.01978,1.05003,18,0.0583351,71.9704 MDoFs/s
25,MatrixFree,2,10,0.412785,0.44214,1048576,4198401,9,9,0.024793,0.0260347,1.02144,1.0527,18,0.0584833,71.788 MDoFs/s
26,MatrixFree,2,10,0.399786,0.426376,1048576,4198401,9,9,0.025981,0.0278101,0.993369,1.02314,18,0.056841,73.8622 MDoFs/s
27,MatrixFree,2,10,0.377892,0.407809,1048576,4198401,9,9,0.024141,0.0245596,0.975596,0.999098,18,0.0555055,75.6394 MDoFs/s
28,MatrixFree,2,10,0.38337,0.412369,1048576,4198401,9,9,0.027786,0.027993,0.955909,0.980842,18,0.0544912,77.0473 MDoFs/s
29,MatrixFree,2,10,0.383945,0.422213,1048576,4198401,9,9,0.021957,0.0248683,0.987689,1.00661,18,0.0559227,75.0751 MDoFs/s
30,MatrixFree,2,10,0.366373,0.394034,1048576,4198401,9,9,0.021162,0.0227527,0.938902,0.969465,18,0.0538591,77.9515 MDoFs/s
31,MatrixFree,2,10,0.370355,0.393544,1048576,4198401,9,9,0.022047,0.0232952,0.899135,0.928854,18,0.051603,81.3597 MDoFs/s
32,MatrixFree,2,10,0.323886,0.348584,1048576,4198401,9,9,0.02088,0.0227229,0.893837,0.920867,18,0.0511593,82.0653 MDoFs/s
33,MatrixFree,2,10,0.365002,0.389005,1048576,4198401,9,9,0.020761,0.0230137,0.889221,0.91179,18,0.050655,82.8822 MDoFs/s
34,MatrixFree,2,10,0.34868,0.369096,1048576,4198401,9,9,0.021948,0.0226978,0.907207,0.925275,18,0.0514042,81.6743 MDoFs/s
35,MatrixFree,2,10,0.358886,0.390029,1048576,4198401,9,9,0.021107,0.0212495,0.86946,0.889013,18,0.0493896,85.0058 MDoFs/s
36,MatrixFree,2,10,0.343221,0.361259,1048576,4198401,9,9,0.020752,0.0207784,0.884982,0.903384,18,0.050188,83.6535 MDoFs/s
37,MatrixFree,2,10,0.322935,0.351914,1048576,4198401,9,9,0.019967,0.0205145,0.830122,0.851989,18,0.0473327,88.6998 MDoFs/s
38,MatrixFree,2,10,0.333774,0.353451,1048576,4198401,9,9,0.018177,0.0212498,0.869389,0.886347,18,0.0492415,85.2614 MDoFs/s
39,MatrixFree,2,10,0.282824,0.307767,1048576,4198401,9,9,0.021771,0.021785,0.840511,0.853464,18,0.0474147,88.5465 MDoFs/s
40,MatrixFree,2,10,0.350176,0.373791,1048576,4198401,9,9,0.019039,0.0199672,0.837166,0.852767,18,0.0473759,88.6189 MDoFs/s
41,MatrixFree,2,10,0.328774,0.348873,1048576,4198401,9,9,0.018702,0.0187179,0.836114,0.852197,18,0.0473443,88.6781 MDoFs/s
42,MatrixFree,2,10,0.318979,0.339206,1048576,4198401,9,9,0.018247,0.0182617,0.817567,0.843479,18,0.04686,89.5946 MDoFs/s
43,MatrixFree,2,10,0.318075,0.336513,1048576,4198401,9,9,0.019709,0.0197239,0.813838,0.830615,18,0.0461453,90.9822 MDoFs/s
44,MatrixFree,2,10,0.331012,0.350429,1048576,4198401,9,9,0.015183,0.0184413,0.80651,0.82693,18,0.0459406,91.3877 MDoFs/s
45,MatrixFree,2,10,0.328104,0.353983,1048576,4198401,9,9,0.018856,0.0188723,0.81143,0.82766,18,0.0459811,91.3071 MDoFs/s
46,MatrixFree,2,10,0.346672,0.370451,1048576,4198401,9,9,0.016762,0.0186832,0.779085,0.807441,18,0.0448578,93.5935 MDoFs/s
47,MatrixFree,2,10,0.35177,0.374618,1048576,4198401,9,9,0.019629,0.0196527,0.78997,0.809394,18,0.0449664,93.3676 MDoFs/s
48,MatrixFree,2,10,0.331263,0.348552,1048576,4198401,9,9,0.017333,0.0177087,0.766131,0.783689,18,0.0435383,96.4301 MDoFs/s
49,MatrixFree,2,10,0.329841,0.349521,1048576,4198401,9,9,0.019051,0.0190813,0.777567,0.792248,18,0.0440138,95.3884 MDoFs/s
50,MatrixFree,2,10,0.340614,0.354548,1048576,4198401,9,9,0.017031,0.0173626,0.765052,0.783842,18,0.0435468,96.4113 MDoFs/s
51,MatrixFree,2,10,0.33183,0.349775,1048576,4198401,9,9,0.018078,0.0184357,0.764496,0.781953,18,0.0434418,96.6442 MDoFs/s
52,MatrixFree,2,10,0.336902,0.353397,1048576,4198401,9,9,0.01602,0.0169216,0.745603,0.765136,18,0.0425075,98.7684 MDoFs/s
53,MatrixFree,2,10,0.334295,0.360487,1048576,4198401,9,9,0.016989,0.0176999,0.75709,0.776906,18,0.0431614,97.2721 MDoFs/s
54,MatrixFree,2,10,0.335969,0.363358,1048576,4198401,9,9,0.018877,0.019364,0.720775,0.747661,18,0.0415367,101.077 MDoFs/s
55,MatrixFree,2,10,0.342504,0.363293,1048576,4198401,9,9,0.017646,0.0176672,0.736947,0.763174,18,0.0423985,99.0223 MDoFs/s
56,MatrixFree,2,10,0.369168,0.389638,1048576,4198401,9,9,0.017873,0.0181406,0.728772,0.75156,18,0.0417533,100.552 MDoFs/s
54,MatrixFree,3,10,0.372603,0.400743,1048576,9443329,16,16,0.028156,0.0289332,1.77161,1.82586,20,0.0912928,103.44 MDoFs/s
55,MatrixFree,3,10,0.359613,0.39601,1048576,9443329,16,16,0.026786,0.0283509,1.76731,1.83253,20,0.0916264,103.063 MDoFs/s
56,MatrixFree,3,10,0.358508,0.389134,1048576,9443329,16,16,0.026092,0.0277338,1.77987,1.83433,20,0.0917165,102.962 MDoFs/s
